Trace,Mode,IPC,Accuracy,Coverage
471.omnetpp-s1,hashed_perceptron-no-no-no-no-lru-1core,0.316,0.000,0.000
471.omnetpp-s1,from_file_IF,0.306,0.036,0.029
471.omnetpp-s1,hashed_perceptron-no-no-no-bo-lru-1core,0.334,0.155,0.247
471.omnetpp-s1,hashed_perceptron-no-no-no-sisb-lru-1core,0.408,0.323,0.484
471.omnetpp-s1,hashed_perceptron-no-no-no-sisb_bo-lru-1core,0.406,0.320,0.549
471.omnetpp-s1,from_file,0.307,0.038,0.025
473.astar-s1,hashed_perceptron-no-no-no-bo-lru-1core,0.438,0.178,0.003
473.astar-s1,from_file_IF,0.422,0.034,0.025
473.astar-s1,hashed_perceptron-no-no-no-sisb-lru-1core,0.446,0.019,0.033
473.astar-s1,hashed_perceptron-no-no-no-no-lru-1core,0.437,0.000,0.000
473.astar-s1,from_file,0.443,0.047,0.019
473.astar-s1,hashed_perceptron-no-no-no-sisb_bo-lru-1core,0.447,0.020,0.034
482.sphinx3-s0,hashed_perceptron-no-no-no-no-lru-1core,0.720,0.000,0.000
482.sphinx3-s0,hashed_perceptron-no-no-no-bo-lru-1core,1.189,0.380,0.760
482.sphinx3-s0,from_file_IF,0.719,0.214,0.163
482.sphinx3-s0,from_file,0.710,0.219,0.160
482.sphinx3-s0,hashed_perceptron-no-no-no-sisb_bo-lru-1core,1.252,0.398,0.787
482.sphinx3-s0,hashed_perceptron-no-no-no-sisb-lru-1core,1.266,0.401,0.787
605.mcf-s1,from_file_IF,0.181,0.448,0.382
605.mcf-s1,hashed_perceptron-no-no-no-bo-lru-1core,0.153,0.000,0.000
605.mcf-s1,from_file,0.162,0.434,0.145
605.mcf-s1,hashed_perceptron-no-no-no-sisb-lru-1core,0.154,0.165,0.011
605.mcf-s1,hashed_perceptron-no-no-no-no-lru-1core,0.153,0.000,0.000
605.mcf-s1,hashed_perceptron-no-no-no-sisb_bo-lru-1core,0.154,0.165,0.011
bfs-10,hashed_perceptron-no-no-no-bo-lru-1core,0.395,0.363,0.713
bfs-10,hashed_perceptron-no-no-no-sisb_bo-lru-1core,0.395,0.451,0.690
bfs-10,hashed_perceptron-no-no-no-sisb-lru-1core,0.327,0.420,0.454
bfs-10,from_file_IF,0.263,0.227,0.136
bfs-10,from_file,0.263,0.229,0.136
bfs-10,hashed_perceptron-no-no-no-no-lru-1core,0.250,0.000,0.000
cc-5,hashed_perceptron-no-no-no-sisb_bo-lru-1core,0.248,0.041,0.074
cc-5,hashed_perceptron-no-no-no-bo-lru-1core,0.243,0.000,0.000
cc-5,hashed_perceptron-no-no-no-no-lru-1core,0.243,0.000,0.000
cc-5,from_file,0.217,0.091,0.122
cc-5,hashed_perceptron-no-no-no-sisb-lru-1core,0.248,0.041,0.074
cc-5,from_file_IF,0.243,0.092,0.043
