Trace,Prefetcher,IPC,Accuracy,Coverage
471.omnetpp-s1,bo,0.334,0.155,0.247
471.omnetpp-s1,modified pathfinder,0.306,0.036,0.029
471.omnetpp-s1,no,0.316,0.0,0.0
471.omnetpp-s1,pathfinder,0.307,0.038,0.025
471.omnetpp-s1,sisb,0.408,0.323,0.484
471.omnetpp-s1,sisb_bo,0.406,0.32,0.549
473.astar-s1,bo,0.438,0.178,0.003
473.astar-s1,modified pathfinder,0.422,0.034,0.025
473.astar-s1,no,0.437,0.0,0.0
473.astar-s1,pathfinder,0.443,0.047,0.019
473.astar-s1,sisb,0.446,0.019,0.033
473.astar-s1,sisb_bo,0.447,0.02,0.034
482.sphinx3-s0,bo,1.189,0.38,0.76
482.sphinx3-s0,modified pathfinder,0.719,0.214,0.163
482.sphinx3-s0,no,0.72,0.0,0.0
482.sphinx3-s0,pathfinder,0.71,0.219,0.16
482.sphinx3-s0,sisb,1.266,0.401,0.787
482.sphinx3-s0,sisb_bo,1.252,0.398,0.787
605.mcf-s1,bo,0.153,0.0,0.0
605.mcf-s1,modified pathfinder,0.181,0.448,0.382
605.mcf-s1,no,0.153,0.0,0.0
605.mcf-s1,pathfinder,0.162,0.434,0.145
605.mcf-s1,sisb,0.154,0.165,0.011
605.mcf-s1,sisb_bo,0.154,0.165,0.011
bfs-10,bo,0.395,0.363,0.713
bfs-10,modified pathfinder,0.263,0.227,0.136
bfs-10,no,0.25,0.0,0.0
bfs-10,pathfinder,0.263,0.229,0.136
bfs-10,sisb,0.327,0.42,0.454
bfs-10,sisb_bo,0.395,0.451,0.69
cc-5,bo,0.243,0.0,0.0
cc-5,modified pathfinder,0.243,0.092,0.043
cc-5,no,0.243,0.0,0.0
cc-5,pathfinder,0.217,0.091,0.122
cc-5,sisb,0.248,0.041,0.074
cc-5,sisb_bo,0.248,0.041,0.074
